Tarcza hamulcowa;Brembo;Uk³ad hamulcowy;85;20
Klocki hamulcowe;TRW;Uk³ad hamulcowy;55;35
Amortyzator przedni;Bilstein;Uk³ad zawieszenia;220;10
Sprê¿yna zawieszenia;KYB;Uk³ad zawieszenia;95;18
Koñcówka dr¹¿ka kierowniczego;Lemförder;Uk³ad kierowniczy;45;25
Pompa wspomagania;ZF;Uk³ad kierowniczy;310;8
T³umik koñcowy;Bosal;Uk³ad wydechowy;180;12
Katalizator;Magnaflow;Uk³ad wydechowy;450;6
Ch³odnica silnika;Nissens;Uk³ad ch³odzenia;265;9
Termostat;Gates;Uk³ad ch³odzenia;35;40
Pompa paliwa;Bosch;Uk³ad paliwowy;190;11
Wtryskiwacz paliwa;Delphi;Uk³ad paliwowy;280;7
Filtr powietrza;Mann;Filtry;25;60
Filtr kabinowy;Filtron;Filtry;30;50
Olej silnikowy 5W40 1L;Castrol;Oleje i p³yny eksploatacyjne;28;100
P³yn hamulcowy DOT4;Ate;Oleje i p³yny eksploatacyjne;18;75
Akumulator 12V 74Ah;Varta;Akumulatory;380;15
¯arówka H7 55W;Osram;Oœwietlenie;12;90
Œwieca zap³onowa;NGK;Uk³ad zap³onowy;15;80
Pióro wycieraczki 60cm;Bosch;Akcesoria samochodowe;35;45
Uszczelka g³owicy;Elring;Silniki i osprzêt;120;15
